WATER_BODY,PSN,TARGET_LATITUDE,TARGET_LONGITUDE
LAKE ONTARIO,53,43.35,-77.712
LAKE ONTARIO,54,43.413,-77.575
LAKE ONTARIO,55,43.443,-77.438
LAKE ONTARIO,56,43.36,-77.515
LAKE ONTARIO,57,43.275,-77.592
LAKE ONTARIO,58,43.328,-77.438
LAKE ONTARIO,59,43.382,-77.298
LAKE ONTARIO,6,43.467,-79.53
LAKE ONTARIO,60,43.58,-77.2
LAKE ONTARIO,61,43.787,-77.158
LAKE ONTARIO,62,43.88,-77
LAKE ONTARIO,63,43.732,-77.017
LAKE ONTARIO,64,43.525,-76.927
LAKE ONTARIO,65,43.423,-76.883
LAKE ONTARIO,66,43.333,-76.84
LAKE ONTARIO,67,43.408,-76.795
LAKE ONTARIO,68,43.53,-76.732
LAKE ONTARIO,68B,43.5836,-79.4161
LAKE ONTARIO,69,43.607,-76.713
LAKE ONTARIO,7,43.547,-79.488
LAKE ONTARIO,70,43.542,-76.618
LAKE ONTARIO,71,43.477,-76.527
LAKE ONTARIO,713,43.417,-77.917
LAKE ONTARIO,715,43.636,-76.969
LAKE ONTARIO,716,43.6,-77.44
LAKE ONTARIO,717,43.3,-77.44
LAKE ONTARIO,72,43.55,-76.525
LAKE ONTARIO,725,43.638,-79.362
LAKE ONTARIO,726,43.632,-79.379
LAKE ONTARIO,73,43.633,-76.288
LAKE ONTARIO,737,43.6086,-79.4303
LAKE ONTARIO,738,43.5639,-79.3867
LAKE ONTARIO,739,43.4233,-79.2575
LAKE ONTARIO,74,43.75,-76.518
LAKE ONTARIO,740,43.3403,-79.1561
LAKE ONTARIO,741,43.2567,-79.0594
LAKE ONTARIO,742,43.3806,-78.1928
LAKE ONTARIO,743,43.5225,-78.1869
LAKE ONTARIO,744,43.6664,-78.1775
LAKE ONTARIO,745,43.8067,-78.1728
LAKE ONTARIO,746,43.9475,-78.1669
LAKE ONTARIO,747,43.6333,-77.2919
LAKE ONTARIO,749,43.5258,-79.5494
LAKE ONTARIO,75,43.843,-76.355
LAKE ONTARIO,750,43.5539,-79.5353
LAKE ONTARIO,752,43.4986,-79.4803
LAKE ONTARIO,753,44.2417,-76.2994
LAKE ONTARIO,754,44.2367,-76.4075
LAKE ONTARIO,756,43.2336,-79.4075
LAKE ONTARIO,757,43.2153,-79.3333
LAKE ONTARIO,76,43.95,-76.175
LAKE ONTARIO,77,43.957,-76.408
LAKE ONTARIO,78,44.083,-76.407
LAKE ONTARIO,79,44.075,-76.522
LAKE ONTARIO,8,43.623,-79.453
LAKE ONTARIO,80,44.142,-76.61
LAKE ONTARIO,81,44.017,-76.672
LAKE ONTARIO,82,44.067,-76.812
LAKE ONTARIO,826,44.1517,-77.2561
LAKE ONTARIO,83,44,-76.843
LAKE ONTARIO,84,43.887,-76.733
LAKE ONTARIO,85,43.75,-79.083
LAKE ONTARIO,86,43.255,-79.195
LAKE ONTARIO,87,43.298,-77.518
LAKE ONTARIO,88,43.588,-76.417
LAKE ONTARIO,89,43.698,-76.417
LAKE ONTARIO,9,43.587,-79.395
LAKE ONTARIO,90,44.136,-76.825
LAKE ONTARIO,909,43.281,-79.873
LAKE ONTARIO,91,43.92,-78.307
LAKE ONTARIO,918,43.286,-79.794
LAKE ONTARIO,926,43.305,-79.815
LAKE ONTARIO,93,43.327,-78.868
LAKE ONTARIO,94,43.325,-77.217
LAKE ONTARIO,95,43.313,-77.001
LAKE ONTARIO,96,43.223,-79.447
LAKE ONTARIO,97,43.962,-76.122
LAKE ONTARIO,98,43.935,-76.232
LAKE ONTARIO,988,43.783,-79.042
LAKE SUPERIOR,100,48.757,-86.976
LAKE SUPERIOR,101,48.735,-87.167
LAKE SUPERIOR,102,48.615,-87.436
LAKE SUPERIOR,105,48.733,-87.563
LAKE SUPERIOR,106,48.575,-88.117
LAKE SUPERIOR,109,48.458,-88.007
LAKE SUPERIOR,11,47.31,-84.658
LAKE SUPERIOR,111,48.3458,-87.9356
LAKE SUPERIOR,113,48.145,-87.703
LAKE SUPERIOR,115,47.847,-87.457
LAKE SUPERIOR,118,47.607,-87.71
LAKE SUPERIOR,12,47.037,-85.103
LAKE SUPERIOR,125,47.605,-88.217
LAKE SUPERIOR,127,47.848,-88.337
LAKE SUPERIOR,130,48.108,-88.458
LAKE SUPERIOR,133,48.283,-88.597
LAKE SUPERIOR,135,48.33,-88.633
LAKE SUPERIOR,136,48.29,-88.83
LAKE SUPERIOR,137,48.302,-88.95
LAKE SUPERIOR,138,48.417,-88.933
LAKE SUPERIOR,139,48.298,-89.18
LAKE SUPERIOR,140,48.15,-89.148
LAKE SUPERIOR,149,47.883,-89.64
LAKE SUPERIOR,152,47.688,-89.467
LAKE SUPERIOR,155,47.803,-89.147
LAKE SUPERIOR,157,47.613,-89
LAKE SUPERIOR,160,47.367,-88.818
LAKE SUPERIOR,164,47.027,-89.038
LAKE SUPERIOR,169,47.207,-89.667
LAKE SUPERIOR,17,46.713,-85.818
