WATER_BODY,PSN,STN_DATE,YEAR,SEASON,PARAMETER_CLASS,CODE,ABBREV,FULL_NAME,VALUE_REPORTED,UNITS_REPORTED,VALUE_MG_L,FLAG,DETECTION,DEPTH_FROM,DEPTH_TO,LATITUDE_DD,LONGITUDE_DD
GEORGIAN BAY,3,2000-05-08 16:53:00,2000,Spring,Total phosphorus,264,TF P,"PHOSPHORUS,TOTAL FILTERED",.001200,MG P/L,0.0012,,0.00020000,1.00,.00,44.72417,-80.59611
GEORGIAN BAY,3,2000-05-08 16:53:00,2000,Spring,Total phosphorus,264,TF P,"PHOSPHORUS,TOTAL FILTERED",.001200,MG P/L,0.0012,,0.00020000,1.00,.00,44.72417,-80.59611
GEORGIAN BAY,3,2000-05-08 16:53:00,2000,Spring,Total phosphorus,264,TF P,"PHOSPHORUS,TOTAL FILTERED",.000500,MG P/L,0.0005,,0.00020000,998.00,.00,44.72417,-80.59611
GEORGIAN BAY,3,2000-05-08 16:53:00,2000,Spring,Total phosphorus,264,TF P,"PHOSPHORUS,TOTAL FILTERED",.000500,MG P/L,0.0005,,0.00020000,999.00,.00,44.72417,-80.59611
GEORGIAN BAY,31,2000-05-09 05:54:00,2000,Spring,Total phosphorus,260,TP,"PHOSPHOROUS,TOTAL",.002300,MG P/L,0.0023,,0.00020000,1.00,.00,45.23889,-81.43889
GEORGIAN BAY,31,2000-05-09 05:54:00,2000,Spring,Total phosphorus,264,TF P,"PHOSPHORUS,TOTAL FILTERED",.001100,MG P/L,0.0011,,0.00020000,1.00,.00,45.23889,-81.43889
GEORGIAN BAY,33,2000-05-09 08:56:00,2000,Spring,Total phosphorus,260,TP,"PHOSPHOROUS,TOTAL",.002300,MG P/L,0.0023,,0.00020000,1.00,.00,45.37056,-81.58389
GEORGIAN BAY,33,2000-05-09 08:56:00,2000,Spring,Total phosphorus,264,TF P,"PHOSPHORUS,TOTAL FILTERED",.001500,MG P/L,0.0015,,0.00020000,1.00,.00,45.37056,-81.58389
GEORGIAN BAY,35,2000-05-09 10:29:00,2000,Spring,Total phosphorus,260,TP,"PHOSPHOROUS,TOTAL",.003000,MG P/L,0.003,,0.00020000,1.00,.00,45.52694,-81.66972
GEORGIAN BAY,35,2000-05-09 10:29:00,2000,Spring,Total phosphorus,264,TF P,"PHOSPHORUS,TOTAL FILTERED",.001700,MG P/L,0.0017,,0.00020000,1.00,.00,45.52694,-81.66972
GEORGIAN BAY,36,2000-05-07 19:22:00,2000,Spring,Total phosphorus,260,TP,"PHOSPHOROUS,TOTAL",.003500,MG P/L,0.0035,,0.00020000,1.00,.00,45.70861,-81.61944
GEORGIAN BAY,36,2000-05-07 19:22:00,2000,Spring,Total phosphorus,264,TF P,"PHOSPHORUS,TOTAL FILTERED",.001900,MG P/L,0.0019,,0.00020000,1.00,.00,45.70861,-81.61944
GEORGIAN BAY,39,2000-05-07 21:16:00,2000,Spring,Total phosphorus,260,TP,"PHOSPHOROUS,TOTAL",.004100,MG P/L,0.0041,,0.00020000,1.00,.00,45.87333,-81.25833
GEORGIAN BAY,39,2000-05-07 21:16:00,2000,Spring,Total phosphorus,264,TF P,"PHOSPHORUS,TOTAL FILTERED",.001800,MG P/L,0.0018,,0.00020000,1.00,.00,45.87333,-81.25833
GEORGIAN BAY,4,2000-05-08 13:57:00,2000,Spring,Total phosphorus,260,TP,"PHOSPHOROUS,TOTAL",.003000,MG P/L,0.003,,0.00020000,1.00,.00,44.64583,-80.16667
GEORGIAN BAY,4,2000-05-08 13:57:00,2000,Spring,Total phosphorus,264,TF P,"PHOSPHORUS,TOTAL FILTERED",.001400,MG P/L,0.0014,,0.00020000,1.00,.00,44.64583,-80.16667
GEORGIAN BAY,42,2000-05-07 17:11:00,2000,Spring,Total phosphorus,260,TP,"PHOSPHOROUS,TOTAL",.004400,MG P/L,0.0044,,0.00020000,1.00,.00,45.91278,-81.59472
GEORGIAN BAY,42,2000-05-07 17:11:00,2000,Spring,Total phosphorus,264,TF P,"PHOSPHORUS,TOTAL FILTERED",.001500,MG P/L,0.0015,,0.00020000,1.00,.00,45.91278,-81.59472
GEORGIAN BAY,43,2000-05-07 13:46:00,2000,Spring,Total phosphorus,260,TP,"PHOSPHOROUS,TOTAL",.004100,MG P/L,0.0041,,0.00020000,1.00,.00,45.83083,-81.78889
GEORGIAN BAY,43,2000-05-07 13:46:00,2000,Spring,Total phosphorus,264,TF P,"PHOSPHORUS,TOTAL FILTERED",.002100,MG P/L,0.0021,,0.00020000,1.00,.00,45.83083,-81.78889
GEORGIAN BAY,44,2000-05-07 14:52:00,2000,Spring,Total phosphorus,260,TP,"PHOSPHOROUS,TOTAL",.004800,MG P/L,0.0048,,0.00020000,1.00,.00,45.97194,-81.69917
GEORGIAN BAY,44,2000-05-07 14:52:00,2000,Spring,Total phosphorus,264,TF P,"PHOSPHORUS,TOTAL FILTERED",.001600,MG P/L,0.0016,,0.00020000,1.00,.00,45.97194,-81.69917
GEORGIAN BAY,46,2000-05-07 13:07:00,2000,Spring,Total phosphorus,260,TP,"PHOSPHOROUS,TOTAL",.004700,MG P/L,0.0047,,0.00020000,1.00,.00,45.76194,-81.80667
GEORGIAN BAY,46,2000-05-07 13:07:00,2000,Spring,Total phosphorus,264,TF P,"PHOSPHORUS,TOTAL FILTERED",.002100,MG P/L,0.0021,,0.00020000,1.00,.00,45.76194,-81.80667
GEORGIAN BAY,47,2000-05-07 15:12:00,2000,Spring,Total phosphorus,260,TP,"PHOSPHOROUS,TOTAL",.004300,MG P/L,0.0043,,0.00020000,1.00,.00,45.99278,-81.72333
GEORGIAN BAY,47,2000-05-07 15:12:00,2000,Spring,Total phosphorus,264,TF P,"PHOSPHORUS,TOTAL FILTERED",.001500,MG P/L,0.0015,,0.00020000,1.00,.00,45.99278,-81.72333
GEORGIAN BAY,48,2000-05-07 15:30:00,2000,Spring,Total phosphorus,260,TP,"PHOSPHOROUS,TOTAL",.004100,MG P/L,0.0041,,0.00020000,1.00,.00,46.00806,-81.72306
GEORGIAN BAY,48,2000-05-07 15:30:00,2000,Spring,Total phosphorus,260,TP,"PHOSPHOROUS,TOTAL",.004200,MG P/L,0.0042,,0.00020000,1.00,.00,46.00806,-81.72306
GEORGIAN BAY,48,2000-05-07 15:30:00,2000,Spring,Total phosphorus,260,TP,"PHOSPHOROUS,TOTAL",.001000,MG P/L,0.001,,0.00020000,998.00,.00,46.00806,-81.72306
GEORGIAN BAY,48,2000-05-07 15:30:00,2000,Spring,Total phosphorus,260,TP,"PHOSPHOROUS,TOTAL",.000800,MG P/L,0.0008,,0.00020000,999.00,.00,46.00806,-81.72306
GEORGIAN BAY,48,2000-05-07 15:30:00,2000,Spring,Total phosphorus,264,TF P,"PHOSPHORUS,TOTAL FILTERED",.001700,MG P/L,0.0017,,0.00020000,1.00,.00,46.00806,-81.72306
GEORGIAN BAY,48,2000-05-07 15:30:00,2000,Spring,Total phosphorus,264,TF P,"PHOSPHORUS,TOTAL FILTERED",.001900,MG P/L,0.0019,,0.00020000,1.00,.00,46.00806,-81.72306
GEORGIAN BAY,48,2000-05-07 15:30:00,2000,Spring,Total phosphorus,264,TF P,"PHOSPHORUS,TOTAL FILTERED",.000200,MG P/L,0.0002,,0.00020000,998.00,.00,46.00806,-81.72306
GEORGIAN BAY,48,2000-05-07 15:30:00,2000,Spring,Total phosphorus,264,TF P,"PHOSPHORUS,TOTAL FILTERED",.000200,MG P/L,0.0002,<,0.00020000,999.00,.00,46.00806,-81.72306
GEORGIAN BAY,5,2000-05-08 12:51:00,2000,Spring,Total phosphorus,260,TP,"PHOSPHOROUS,TOTAL",.003100,MG P/L,0.0031,,0.00020000,1.00,.00,44.79667,-80.24333
